ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LeisureCentreName,Address,Telephone,BodylineGym,SwimmingMonday,SwimmingTuesday,SwimmingWednesday,SwimmingThursday,SwimmingFriday,SwimmingSaturday,SwimmingSunday,GymMonday,GymTuesday,GymWednesday,GymThursday,GymFriday,GymSaturday,GymSunday,FitnessMonday,FitnessTuesday,FitnessWednesday,FitnessThursday,FitnessFriday,FitnessSaturday,FitnessSunday,RacketsMonday,RacketsTuesday,RacketsWednesday,RacketsThursday,RacketsFriday,RacketsSaturday,RacketsSunday,Comments
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Aireborough Leisure Centre","The Green, Guiseley, Leeds, LS20 9BT","(0113) 378 1230",Y,13:00-14:00,,13:00-14:00,,13:00-14:00,,11:30-12:30,,13:00-14:00,,13:00-14:00,,13:00-14:00,,,,,,,,,,,,,,,,"Swimming includes small pool"
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Armley Sports Centre","Carr Croft, Armley, Leeds, LS12 3HB","(0113) 336 7880",Y,10:30-11:30,13:00-14:00,12:00-13:00,12:00-13:00,12:00-13:00,14:00-15:00,12:00-13:00,14:00-15:00,14:00-15:00,14:00-15:00,14:00-15:00,14:00-15:00,13:00-14:00,13:00-14:00,,,,,,,,,,,,,,,"Swimming includes small pool"
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Bramley Baths","Broad Lane, Bramley, Leeds, LS13 3DF","(0113) 214 6000",N,,,,,,,,15:00-16:00,15:00-16:00,15:00-16:00,15:00-16:00,15:00-16:00,,,,,,,,,,,,,,,,,
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Chippindale Pool","Prince Henrys Grammar School, Otley, Leeds. LS21 2BH","(01943) 466 852",N,19:00-20:00,12:45-13:30,20:15-21:00,19:00-20:00,12:30-13:15,07:45-08:45,11:00-12:00,,,,,,,,,,,,,,,,,,,,,,
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Fearnville Leisure Centre","Oakwood Lane, Oakwood, Leeds, LS8 3LF","(0113) 378 1260",N,09:00-10:00,08:30-09:30,08:30-09:30,15:00-15:55,15:00-15:55,14:00-15:00,14:00-15:00,14:00-15:00,14:00-15:00,14:00-15:00,14:00-15:00,14:00-15:00,16:15-17:15,16:00-17:00,,,,"Circuits 18:00-19:00",,,,,,,,,,,"Swimming includes small pool on Saturday and Sunday only"
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Garforth Squash and Leisure Centre","Ninelands Lane, Garforth, Leeds, LS25 1NX","(0113) 378 1312",Y,,,,,,,,12:00-13:00,,12:00-13:00,,12:00-13:00,,12:00-13:00,,,,,,,,,,,,,,,
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Holt Park Leisure Centre","Holtdale Approach, Holt Park, Leeds, LS16 7RX","(0113) 378 1301",Y,,13:30-14:30,,13:30-14:30,,14:30-15:30,,13:00-14:00,,13:00-14:00,,13:00-14:00,,12:00-13:00,,,,,,,,,,,,,,,"Swimming includes small pool"
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","John Charles Centre for Sport","Middleton Grove, Leeds, LS11 5DJ","(0113) 395 0000",Y,14:00-15:00,14:00-15:00,14:00-15:00,14:00-15:00,14:00-15:00,14:30-15:30,15:00-16:00,15:00-16:00,15:00-16:00,15:00-16:00,15:00-16:00,15:00-16:00,13:30-14:30,14:00-15:00,,,,,,,,,,,,,,,"Swimming is all in deep water.  An additional women swim only session in shallow water is available 12:30-13:15 on Thursdays"
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","John Smeaton Leisure Centre","Smeaton Approach, Leeds, LS15 8TA","(0113) 378 2280",Y,14:30-15:30,,14:30-15:30,14:30-15:30,,13:00-14:00,,,14:30-15:30,,,14:30-15:30,,14:30-15:30,,,,,,,,,,,,,,,
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Kippax Leisure Centre","Station Road, Kippax, Leeds, LS25 1PY","(0113) 378 1275",N,14:30-15:30,08:15-09:15,08:15-09:15,12:15-13:15,18:00-19:00,12:00-13:00,12:45-13:45,,,,,,,,,,,,,,,,,,,,,,"An additional women swim only session is available 20:30-21:30 on Tuesdays"
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Kirkstall Leisure Centre","Kirkstall Road, Kirkstall, Leeds, LS5 3BE","(0113) 378 2086",N,08:30-09:30,08:30-09:30,08:30-09:30,08:30-09:30,08:30-09:30,13:00-14:00,16:00-17:00,,,,,,,,,,,,,,,,,,,,,,"Swimming includes small pool on Saturday and Sunday only"
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Leeds Sailing and Activity Centre","Cemetery Road, Leeds. LS19 7UR","(0113) 378 1271",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Middleton Leisure Centre","Middleton Ring Road, Middleton, Leeds, LS10 4AX","(0113) 378 2455",N,,,,,,,,,,,,,,,,"Dance aerobics 18:00-19:00","Zumba 12:15-13:00",,"Circuit training 12:15-13:00",,,14:00-15:00,13:00-15:00,13:00-15:00,14:00-16:00,14:00-15:00,12:00-14:00,11:00-12:00,
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Morley Leisure Centre","Queensway, Morley, Leeds, LS27 9JP","(0113) 336 7890",Y,14:30-15:30,,14:30-15:30,14:30-15:30,,,16:00-17:00,,14:30-15:30,,,14:30-15:30,14:30-15:30,,,,,,,,,,,,,,,,"Swimming includes small pool on Sunday only"
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Pudsey Leisure Centre","Market Place, Pudsey, Leeds, LS28 7BE","(0113) 336 7686",Y,,11:00-12:00,,12:00-13:00,,14:00-15:00,,14:00-15:00,,14:00-15:00,,14:00-15:00,,14:00-15:00,,,,,,,,,,,,,,,
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Rothwell Sports Centre","Wakefield Road, Oulton, Leeds, LS26 0EL","(0113) 336 7530",Y,13:00-14:00,,12:00-13:00,,12:00-13:00,,"Swimfit Activate/General lane session 13:15-14:15",,13:00-14:00,,13:00-14:00,,13:00-14:00,,,,,,,,,,,,,,,,"Swimming includes small pool. Creche available at Rothwell during LLGA hours from £2.80 an hour for LeedsCard Extra holders"
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Scott Hall Sports Centre","Scott Hall Road, Chapel Allerton, Leeds, LS7 3DT","(0113) 378 1285",Y,14:30-15:30,,14:35-15:30,"Women swimming only 20:00-21:00",14:15-15:30,,14:30-15:30,,,,,,,,,,,,,,,,,,,,,,"Swimming includes small pool on Sunday only. Leeds Lets Get Active women Tuesdays 09:30-10:30"
2014/10/28,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/241,"Leisure and social activities inclusion","Wetherby Leisure Centre","The Ings, Wetherby, Leeds, LS22 5HA","(0113) 378 1265",Y,,14:45-15:45,,12:30-13:30,,12:45-13:45,,13:30-14:30,,13:30-14:30,,13:30-14:30,,13:30-14:30,,,,,,,,,,,,,,,"Swimming includes small pool on Saturday only"
